"player","squad","comp","pos","age","born","matches_played","starts","min_played","nineties","goals","assists","total_contributions","yellow_cards","red_cards","total_shots","shots_on_target","fouls_committed","fouls_drawn","tackles_won","fatigue_percentage","fatigue_status","contributions_per_90"
"Maximilian Eggestein","Freiburg","de Bundesliga","MF",28.0,1996,34,34,3060,34.0,3,1,4,4,0,44,13,18,20,34,113.3,"إرهاق مرتفع جداً",0.12
"Oliver Baumann","Hoffenheim","de Bundesliga","GK",35.0,1990,34,34,3060,34.0,0,0,0,3,0,0,0,1,6,0,113.3,"إرهاق مرتفع جداً",0.00
"Nikola Vasilj","St Pauli","de Bundesliga","GK",29.0,1995,34,34,3060,34.0,0,0,0,0,0,0,0,0,1,1,113.3,"إرهاق مرتفع جداً",0.00
"Finn Dahmen","Augsburg","de Bundesliga","GK",27.0,1998,34,34,3060,34.0,0,0,0,1,0,1,0,0,9,0,113.3,"إرهاق مرتفع جداً",0.00
"Noah Atubolu","Freiburg","de Bundesliga","GK",23.0,2002,34,34,3060,34.0,0,0,0,1,0,0,0,0,6,0,113.3,"إرهاق مرتفع جداً",0.00
"Danilho Doekhi","Union Berlin","de Bundesliga","DF",27.0,1998,34,34,3060,34.0,5,0,5,4,0,45,11,28,15,31,113.3,"إرهاق مرتفع جداً",0.15
"Alexander Nübel","Stuttgart","de Bundesliga","GK",28.0,1996,34,34,3060,34.0,0,1,1,0,0,0,0,1,7,0,113.3,"إرهاق مرتفع جداً",0.03
"Kamil Grabara","Wolfsburg","de Bundesliga","GK",26.0,1999,34,34,3060,34.0,0,0,0,1,0,1,0,0,2,1,113.3,"إرهاق مرتفع جداً",0.00
"Gregor Kobel","Dortmund","de Bundesliga","GK",27.0,1997,34,34,3060,34.0,0,0,0,3,0,0,0,0,5,0,113.3,"إرهاق مرتفع جداً",0.00
"Patrick Mainka","Heidenheim","de Bundesliga","DF",30.0,1994,34,34,3060,34.0,2,2,4,1,0,37,9,10,20,30,113.3,"إرهاق مرتفع جداً",0.12
"Moritz Nicolas","Gladbach","de Bundesliga","GK",27.0,1997,34,34,3060,34.0,0,0,0,1,0,0,0,0,3,1,113.3,"إرهاق مرتفع جداً",0.00
"Marvin Schwäbe","Köln","de Bundesliga","GK",30.0,1995,34,34,3060,34.0,0,0,0,2,0,0,0,1,4,1,113.3,"إرهاق مرتفع جداً",0.00
"Kaishu Sano","Mainz 05","de Bundesliga","MF",24.0,2000,34,34,3059,34.0,1,2,3,1,0,24,6,14,29,31,113.3,"إرهاق مرتفع جداً",0.09
"Jakub Kamiński","Köln","de Bundesliga","MF,FW",23.0,2002,34,34,3016,33.5,7,3,10,4,0,62,25,14,28,27,111.7,"إرهاق مرتفع جداً",0.30
"Vladimír Coufal","Hoffenheim","de Bundesliga","DF,MF",32.0,1992,34,34,3012,33.5,1,8,9,4,0,26,6,32,42,35,111.6,"إرهاق مرتفع جداً",0.27
"Romano Schmid","Werder Bremen","de Bundesliga","MF,FW",25.0,2000,34,34,2982,33.1,4,8,12,4,0,57,21,19,31,28,110.4,"إرهاق مرتفع جداً",0.36
"Daniel Heuer Fernandes","Hamburger SV","de Bundesliga","GK",32.0,1992,33,33,2970,33.0,0,0,0,3,0,1,0,0,4,0,110.0,"إرهاق مرتفع جداً",0.00
"Nico Elvedi","Gladbach","de Bundesliga","DF",28.0,1996,33,33,2966,33.0,0,2,2,5,0,9,0,18,16,32,109.9,"إرهاق مرتفع جداً",0.06
"Willi Orban","RB Leipzig","de Bundesliga","DF",32.0,1992,33,33,2949,32.8,2,0,2,4,0,20,9,20,23,33,109.2,"إرهاق مرتفع جداً",0.06
"Mio Backhaus","Werder Bremen","de Bundesliga","GK",21.0,2004,32,32,2880,32.0,0,0,0,1,0,0,0,0,13,0,106.7,"إرهاق مرتفع جداً",0.00
"Nicolai Remberg","Hamburger SV","de Bundesliga","MF",25.0,2000,32,32,2880,32.0,0,2,2,11,0,17,8,44,48,27,106.7,"إرهاق مرتفع جداً",0.06
"Waldemar Anton","Dortmund","de Bundesliga","DF",29.0,1996,32,32,2880,32.0,2,0,2,3,0,16,6,26,16,42,106.7,"إرهاق مرتفع جداً",0.06
"Leon Avdullahu","Hoffenheim","de Bundesliga","MF",21.0,2004,33,32,2834,31.5,0,1,1,5,0,14,2,27,12,30,105.0,"إرهاق مرتفع جداً",0.03
"Matthias Ginter","Freiburg","de Bundesliga","DF",31.0,1994,32,32,2833,31.5,3,3,6,3,0,19,7,16,19,14,104.9,"إرهاق مرتفع جداً",0.19
"Robin Koch","Eintracht Frankfurt","de Bundesliga","DF",29.0,1996,32,32,2833,31.5,3,1,4,3,1,15,5,31,13,27,104.9,"إرهاق مرتفع جداً",0.13
"Rani Khedira","Union Berlin","de Bundesliga","MF",31.0,1994,32,32,2830,31.4,5,1,6,7,0,23,10,52,18,35,104.8,"إرهاق مرتفع جداً",0.19
"Robin Fellhauer","Augsburg","de Bundesliga","MF",27.0,1998,34,31,2799,31.1,3,2,5,2,0,30,9,25,33,43,103.7,"إرهاق مرتفع جداً",0.16
"Diant Ramaj","Heidenheim","de Bundesliga","GK",23.0,2001,31,31,2790,31.0,0,1,1,2,0,0,0,2,2,0,103.3,"إرهاق مرتفع جداً",0.03
"Christoph Baumgartner","RB Leipzig","de Bundesliga","MF",25.0,1999,33,32,2780,30.9,13,8,21,10,0,81,35,63,33,40,103.0,"إرهاق مرتفع جداً",0.68
"Senne Lynen","Werder Bremen","de Bundesliga","MF",26.0,1999,31,31,2752,30.6,0,0,0,4,0,25,4,38,12,33,101.9,"إرهاق مرتفع جداً",0.00
"Angelo Stiller","Stuttgart","de Bundesliga","MF",24.0,2001,34,30,2743,30.5,2,5,7,1,0,17,8,18,44,23,101.6,"إرهاق مرتفع جداً",0.23
"Leopold Querfeld","Union Berlin","de Bundesliga","DF",21.0,2003,31,30,2705,30.1,3,0,3,7,0,29,10,46,28,27,100.2,"إرهاق مرتفع جداً",0.10
"Danny da Costa","Mainz 05","de Bundesliga","DF,MF",32.0,1993,34,30,2695,29.9,2,3,5,3,0,14,5,22,24,27,99.8,"إرهاق مرتفع جداً",0.17
"Nicolas Seiwald","RB Leipzig","de Bundesliga","MF",24.0,2001,33,31,2694,29.9,0,2,2,2,0,20,7,18,6,47,99.8,"إرهاق مرتفع جداً",0.07
"Aleix García","Leverkusen","de Bundesliga","MF",28.0,1997,33,31,2667,29.6,3,8,11,6,0,30,5,8,19,20,98.8,"إرهاق مرتفع جداً",0.37
"Joel Fujita","St Pauli","de Bundesliga","MF",23.0,2002,32,31,2665,29.6,1,3,4,6,0,32,7,37,19,36,98.7,"إرهاق مرتفع جداً",0.14
"Nathaniel Brown","Eintracht Frankfurt","de Bundesliga","MF,DF",22.0,2003,33,29,2656,29.5,4,4,8,3,0,18,9,27,33,57,98.4,"إرهاق مرتفع جداً",0.27
"Frederik Rønnow","Union Berlin","de Bundesliga","GK",32.0,1992,30,30,2640,29.3,0,0,0,2,0,0,0,1,3,1,97.8,"إرهاق مرتفع جداً",0.00
"Rocco Reitz","Gladbach","de Bundesliga","MF",23.0,2002,31,31,2627,29.2,0,4,4,8,1,47,14,35,55,42,97.3,"إرهاق مرتفع جداً",0.14
"Joe Scally","Gladbach","de Bundesliga","DF,MF",22.0,2002,32,29,2608,29.0,2,3,5,8,0,16,10,33,51,27,96.6,"إرهاق مرتفع جداً",0.17
"Hauke Wahl","St Pauli","de Bundesliga","DF",31.0,1994,30,29,2592,28.8,2,1,3,1,0,10,4,11,13,32,96.0,"إرهاق مرتفع جداً",0.10
"Arkadiusz Pyrka","St Pauli","de Bundesliga","MF",22.0,2002,31,30,2576,28.6,0,1,1,3,0,19,3,17,32,24,95.4,"إرهاق مرتفع جداً",0.03
"Edmond Tapsoba","Leverkusen","de Bundesliga","DF",26.0,1999,29,29,2575,28.6,5,3,8,7,0,29,10,31,2,15,95.4,"إرهاق مرتفع جداً",0.28
